TimeStep,SigmaXX,SigmaYY,SigmaZZ,StrainZZ,CoordinationNumber
1,100051,100051,102102,5.06823e-07,10.3333
2,100042,100042,104992,1.11813e-06,10.3333
3,100005,100005,108191,1.75421e-06,10.3333
4,100007,100007,110760,2.23882e-06,10.3333
5,100003,100003,113616,2.76798e-06,10.3333
6,100003,100003,116412,3.27985e-06,10.3333
7,100008,100008,119172,3.7822e-06,10.3333
8,100006,100006,121853,4.26961e-06,10.3333
9,100005,100005,124798,4.799e-06,10.3333
10,100004,100004,127602,5.30285e-06,10.3333
11,100003,100003,130419,5.80595e-06,10.3333
12,100001,100001,133084,6.28525e-06,10.3333
13,100003,100003,135872,6.78619e-06,10.3333
14,100002,100002,138645,7.28044e-06,10.3333
15,100003,100003,141459,7.78387e-06,10.3333
16,100002,100002,144225,8.27625e-06,10.3333
17,100002,100002,147038,8.77876e-06,10.3333
18,100001,100001,149803,9.27018e-06,10.3333
19,100002,100002,152614,9.77199e-06,10.3333
20,100001,100001,155381,1.02629e-05,10.3333
21,100002,100002,158191,1.07642e-05,10.3333
22,100001,100001,160958,1.12547e-05,10.3333
23,100002,100002,163765,1.17556e-05,10.3333
24,100001,100001,166534,1.22462e-05,10.3333
25,100004,100004,169110,1.27081e-05,10.3333
26,100006,100006,171979,1.32262e-05,10.3333
27,100007,100007,174661,1.37181e-05,10.3333
28,100009,100009,177415,1.42234e-05,10.3333
29,100011,100011,180204,1.47424e-05,10.3333
30,100032,100032,182751,1.52285e-05,10.3333
31,100058,100058,185213,1.57234e-05,10.3333
32,100078,100078,188085,1.63418e-05,10.3333
33,100107,100107,190562,1.68952e-05,10.3333
34,100108,100108,193528,1.75762e-05,10.3333
35,100132,100132,196249,1.82259e-05,10.3333
36,100146,100146,198985,1.89006e-05,10.3333
37,100161,100161,201719,1.95959e-05,10.3333
38,100168,100168,204476,2.03057e-05,10.3333
39,100173,100173,207238,2.10209e-05,10.3333
40,100176,100176,210016,2.17413e-05,10.3333
41,100176,100176,212804,2.24652e-05,10.3333
42,100176,100176,215591,2.31893e-05,10.3333
43,100176,100176,218381,2.39142e-05,10.3333
44,100176,100176,221170,2.46389e-05,10.3333
45,100176,100176,223958,2.53637e-05,10.3333
46,100177,100177,226745,2.60887e-05,10.3333
47,100176,100176,229538,2.68161e-05,10.3333
48,100162,100162,232490,2.75865e-05,10.3333
49,100167,100167,235181,2.82871e-05,10.3333
50,100193,100193,237653,2.89266e-05,10.3333
51,100188,100188,240601,2.9696e-05,10.3333
52,100183,100183,243432,3.04347e-05,10.3333
53,100181,100181,246239,3.1167e-05,10.3333
54,100180,100180,249036,3.18968e-05,10.3333
55,100180,100180,251830,3.26258e-05,10.3333
56,100179,100179,254620,3.33539e-05,10.3333
57,100179,100179,257411,3.40823e-05,10.3333
58,100179,100179,260200,3.48102e-05,10.3333
59,100179,100179,262991,3.55387e-05,10.3333
60,100198,100198,265513,3.6194e-05,10.3333
61,100190,100190,268477,3.697e-05,10.3333
62,100202,100202,271059,3.76432e-05,10.3333
63,100191,100191,274046,3.8426e-05,10.3333
64,100204,100204,276622,3.90968e-05,10.3333
65,100192,100192,279619,3.98831e-05,10.3333
66,100203,100203,282211,4.05589e-05,10.3333
67,100191,100191,285203,4.13436e-05,10.3333
68,100204,100204,287783,4.20156e-05,10.3333
69,100193,100193,290774,4.28001e-05,10.3333
70,100205,100205,293356,4.34734e-05,10.3333
71,100213,100213,296065,4.41813e-05,10.3333
72,100199,100199,299096,4.49753e-05,10.3333
73,100207,100207,301704,4.56568e-05,10.3333
74,100215,100215,304422,4.63676e-05,10.3333
75,100218,100218,307181,4.7089e-05,10.3333
76,100220,100220,309957,4.78151e-05,10.3333
77,100221,100221,312739,4.85432e-05,10.3333
78,100221,100221,315528,4.92732e-05,10.3333
79,100221,100221,318311,5.00013e-05,10.3333
80,100223,100223,321071,5.07231e-05,10.3333
81,100223,100223,323870,5.1456e-05,10.3333
82,100224,100224,326642,5.21817e-05,10.3333
83,100233,100233,329439,5.29198e-05,10.2593
84,100234,100234,332180,5.36453e-05,10.2593
85,100247,100247,335002,5.43964e-05,10.1852
86,100268,100268,337758,5.51458e-05,10.1111
87,100277,100277,340544,5.59104e-05,10.037
88,100290,100290,343324,5.66821e-05,10.037
89,100320,100320,346049,5.74472e-05,9.74074
90,100356,100356,348771,5.82391e-05,9.74074
91,100369,100369,351514,5.90445e-05,9.74074
92,100359,100359,354404,5.99036e-05,9.59259
93,100429,100429,357045,6.07061e-05,9.2963
94,100447,100447,359964,6.16358e-05,9.2963
95,100487,100487,362507,6.24501e-05,9.18519
96,100562,100562,365347,6.34116e-05,8.88889
97,100707,100707,367707,6.4276e-05,8.66667
98,100907,100907,370431,6.54149e-05,8.25926
99,100998,100998,374001,6.93303e-05,7.7037
100,101356,101356,376057,9.05905e-05,7.55556
